rot_crop,RCI,n,RCI_unique,RCI_match
Alfalfa-Alfalfa-Alfalfa-Soybeans-Soybeans-Corn,2.45,5,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Soybeans-Soybeans-Corn,2.65,1,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Soybeans-Soybeans-Corn,3.24,5,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Soybeans-Winter Wheat-Corn,3.24,1,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Soybeans-Winter Wheat-Corn,3.46,1,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Winter Wheat-Alfalfa-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Winter Wheat-Corn-Corn,3.24,2,3.24,TRUE
Alfalfa-Alfalfa-Alfalfa-Winter Wheat-Corn-Corn,4,6,3.24,FALSE
Alfalfa-Alfalfa-Alfalfa-Winter Wheat-Grassland/Pasture-Corn,3.46,1,4,FALSE
Alfalfa-Alfalfa-Alfalfa-Winter Wheat-Soybeans-Corn,3.24,1,4,FALSE
Alfalfa-Alfalfa-Clover/Wildflowers-Alfalfa-Soybeans-Corn,3.24,1,4,FALSE
Alfalfa-Alfalfa-Clover/Wildflowers-Alfalfa-Soybeans-Corn,3.46,1,4,FALSE
Alfalfa-Alfalfa-Clover/Wildflowers-Corn-Corn-Corn,4,1,3,FALSE
Alfalfa-Alfalfa-Corn-Alfalfa-Corn-Corn,2.45,1,2.45,TRUE
Alfalfa-Alfalfa-Corn-Alfalfa-Corn-Corn,2.65,3,2.45,FALSE
Alfalfa-Alfalfa-Corn-Alfalfa-Corn-Corn,3.24,3,2.45,FALSE
Alfalfa-Alfalfa-Corn-Alfalfa-Grassland/Pasture-Corn,3.24,1,3.46,FALSE
Alfalfa-Alfalfa-Corn-Alfalfa-Soybeans-Corn,3.46,1,3.46,TRUE
Alfalfa-Alfalfa-Corn-Corn-Alfalfa-Corn,2.65,1,2.65,TRUE
Alfalfa-Alfalfa-Corn-Corn-Alfalfa-Corn,3.46,2,2.65,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,1.41,1,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,1.73,3,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,2.24,88,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,2.45,9,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,2.74,1,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,3,53,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,3.24,5,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,3.46,1,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Corn-Corn,4,6,2,FALSE
Alfalfa-Alfalfa-Corn-Corn-Dbl Crop WinWht/Soybeans-Corn,3.24,3,3.24,TRUE
Alfalfa-Alfalfa-Corn-Corn-Dbl Crop WinWht/Soybeans-Corn,4,6,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Grassland/Pasture-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Corn-Corn-Grassland/Pasture-Corn,3.46,2,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Grassland/Pasture-Corn,4,3,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Grassland/Pasture-Corn,4.24,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Soybeans-Corn,2.74,2,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Soybeans-Corn,3,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Soybeans-Corn,3.24,41,3.24,TRUE
Alfalfa-Alfalfa-Corn-Corn-Soybeans-Corn,3.46,10,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Soybeans-Corn,4,28,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Soybeans-Corn,4.74,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Winter Wheat-Corn,3.24,3,3.24,TRUE
Alfalfa-Alfalfa-Corn-Corn-Winter Wheat-Corn,3.46,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Corn-Winter Wheat-Corn,4,4,3.24,FALSE
Alfalfa-Alfalfa-Corn-Dbl Crop WinWht/Soybeans-Corn-Corn,3.24,2,3.24,TRUE
Alfalfa-Alfalfa-Corn-Fallow/Idle Cropland-Corn-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Alfalfa-Corn,3.46,1,3.67,FALSE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Corn-Corn,1.41,2,3.24,FALSE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Corn-Corn,3.24,3,3.24,TRUE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Corn-Corn,3.46,2,3.24,FALSE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Fallow/Idle Cropland-Corn,4.24,1,4.24,TRUE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Grassland/Pasture-Corn,2,1,3.67,FALSE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Grassland/Pasture-Corn,3.24,1,3.67,FALSE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Grassland/Pasture-Corn,3.46,2,3.67,FALSE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Grassland/Pasture-Corn,3.67,2,3.67,TRUE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Grassland/Pasture-Corn,4.74,1,3.67,FALSE
Alfalfa-Alfalfa-Corn-Grassland/Pasture-Soybeans-Corn,4.74,1,4.24,FALSE
Alfalfa-Alfalfa-Corn-Other Hay/Non Alfalfa-Alfalfa-Corn,3.67,1,3.67,TRUE
Alfalfa-Alfalfa-Corn-Other Hay/Non Alfalfa-Corn-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Corn-Other Hay/Non Alfalfa-Soybeans-Corn,4.74,1,4.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Alfalfa-Corn,3.46,2,3.67,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Alfalfa-Corn,3.67,1,3.67,TRUE
Alfalfa-Alfalfa-Corn-Soybeans-Alfalfa-Corn,4.24,1,3.67,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Corn-Corn,1.41,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Corn-Corn,2.24,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Corn-Corn,2.45,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Corn-Corn,2.74,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Corn-Corn,3.24,17,3.24,TRUE
Alfalfa-Alfalfa-Corn-Soybeans-Corn-Corn,3.46,6,3.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Corn-Corn,3.74,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Corn-Corn,4,18,3.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Dbl Crop WinWht/Soybeans-Corn,4,6,4.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Dbl Crop WinWht/Soybeans-Corn,4.47,1,4.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Dbl Crop WinWht/Soybeans-Corn,4.74,4,4.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Fallow/Idle Cropland-Corn,4,1,4.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Fallow/Idle Cropland-Corn,4.74,1,4.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Grassland/Pasture-Corn,0,1,4.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Grassland/Pasture-Corn,4.24,3,4.24,TRUE
Alfalfa-Alfalfa-Corn-Soybeans-Oats-Corn,4.24,2,4.24,TRUE
Alfalfa-Alfalfa-Corn-Soybeans-Soybeans-Corn,3.24,8,3.46,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Soybeans-Corn,3.46,1,3.46,TRUE
Alfalfa-Alfalfa-Corn-Soybeans-Soybeans-Corn,4,2,3.46,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Soybeans-Corn,4.47,1,3.46,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Winter Wheat-Corn,4,11,4.24,FALSE
Alfalfa-Alfalfa-Corn-Soybeans-Winter Wheat-Corn,4.24,6,4.24,TRUE
Alfalfa-Alfalfa-Corn-Soybeans-Winter Wheat-Corn,4.74,3,4.24,FALSE
Alfalfa-Alfalfa-Corn-Winter Wheat-Alfalfa-Corn,3.46,1,3.67,FALSE
Alfalfa-Alfalfa-Corn-Winter Wheat-Corn-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Corn-Winter Wheat-Corn-Corn,3.46,1,3.24,FALSE
Alfalfa-Alfalfa-Corn-Winter Wheat-Soybeans-Corn,2.45,1,4.24,FALSE
Alfalfa-Alfalfa-Corn-Winter Wheat-Soybeans-Corn,4,1,4.24,FALSE
Alfalfa-Alfalfa-Dbl Crop WinWht/Corn-Corn-Corn-Corn,3.24,1,3,FALSE
Alfalfa-Alfalfa-Dbl Crop WinWht/Corn-Corn-Dbl Crop WinWht/Soybeans-Corn,4,1,4,TRUE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Alfalfa-Alfalfa-Corn,2.65,1,3.46,FALSE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Alfalfa-Corn-Corn,3.24,1,3.24,TRUE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn-Corn-Corn,4,1,3,FALSE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn-Dbl Crop WinWht/Soybeans-Corn,3.24,2,3.24,TRUE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn-Soybeans-Corn,4,3,4,TRUE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn-Soybeans-Corn,4.74,1,4,FALSE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Corn-Winter Wheat-Corn,4,1,4,TRUE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Soybeans-Alfalfa-Corn,4.24,1,4.24,TRUE
Alfalfa-Alfalfa-Dbl Crop WinWht/Soybeans-Soybeans-Dbl Crop WinWht/Corn-Corn,4,1,4.74,FALSE
Alfalfa-Alfalfa-Deciduous Forest-Alfalfa-Alfalfa-Corn,3.46,1,3.46,TRUE
Alfalfa-Alfalfa-Deciduous Forest-Corn-Soybeans-Corn,4,1,4,TRUE
Alfalfa-Alfalfa-Deciduous Forest-Corn-Soybeans-Corn,4.74,1,4,FALSE
Alfalfa-Alfalfa-Deciduous Forest-Dbl Crop WinWht/Soybeans-Soybeans-Corn,4,1,4.74,FALSE
Alfalfa-Alfalfa-Deciduous Forest-Deciduous Forest-Alfalfa-Corn,2.65,1,3.46,FALSE
Alfalfa-Alfalfa-Deciduous Forest-Deciduous Forest-Deciduous Forest-Corn,2.74,1,3,FALSE
Alfalfa-Alfalfa-Deciduous Forest-Soybeans-Corn-Corn,4.24,1,4,FALSE
Alfalfa-Alfalfa-Developed/Open Space-Corn-Corn-Corn,3.24,1,3,FALSE
Alfalfa-Alfalfa-Fallow/Idle Cropland-Corn-Soybeans-Corn,4,1,4,TRUE
Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Alfalfa-Corn,2,1,3.46,FALSE
Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Alfalfa-Corn,2.65,10,3.46,FALSE
Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Alfalfa-Corn,2.83,4,3.46,FALSE
Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Alfalfa-Corn,3,1,3.46,FALSE
Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Alfalfa-Corn,3.24,1,3.46,FALSE
Alfalfa-Alfalfa-Grassland/Pasture-Alfalfa-Alfalfa-Corn,3.46,13,3.46,TRUE
